altersgruppe,region,datum,anzahl,summe,population
40 - 49,CH,2020-06-15,19,4871,1205539
50 - 59,CH,2020-06-15,23,6307,1300012
60 - 69,CH,2020-06-15,17,3718,991217
70 - 79,CH,2020-06-15,8,2922,744449
80+,CH,2020-06-15,6,4097,471987
Unbekannt,CH,2020-06-15,0,42,NA
0 - 9,CH,2020-06-22,9,206,883904
10 - 19,CH,2020-06-22,28,956,858994
20 - 29,CH,2020-06-22,104,4058,1027732
30 - 39,CH,2020-06-22,70,4283,1254957
40 - 49,CH,2020-06-22,63,4934,1205539
50 - 59,CH,2020-06-22,51,6358,1300012
60 - 69,CH,2020-06-22,20,3738,991217
70 - 79,CH,2020-06-22,8,2930,744449
80+,CH,2020-06-22,6,4103,471987
Unbekannt,CH,2020-06-22,0,42,NA
0 - 9,CH,2020-06-29,8,214,883904
10 - 19,CH,2020-06-29,57,1013,858994
20 - 29,CH,2020-06-29,209,4267,1027732
30 - 39,CH,2020-06-29,137,4420,1254957
40 - 49,CH,2020-06-29,102,5036,1205539
50 - 59,CH,2020-06-29,84,6442,1300012
60 - 69,CH,2020-06-29,62,3800,991217
70 - 79,CH,2020-06-29,12,2942,744449
80+,CH,2020-06-29,11,4114,471987
Unbekannt,CH,2020-06-29,0,42,NA
0 - 9,CH,2020-07-06,14,228,883904
10 - 19,CH,2020-07-06,46,1059,858994
20 - 29,CH,2020-07-06,142,4409,1027732
30 - 39,CH,2020-07-06,131,4551,1254957
40 - 49,CH,2020-07-06,95,5131,1205539
50 - 59,CH,2020-07-06,94,6536,1300012
60 - 69,CH,2020-07-06,80,3880,991217
70 - 79,CH,2020-07-06,24,2966,744449
80+,CH,2020-07-06,10,4124,471987
Unbekannt,CH,2020-07-06,0,42,NA
0 - 9,CH,2020-07-13,20,248,883904
10 - 19,CH,2020-07-13,47,1106,858994
20 - 29,CH,2020-07-13,159,4568,1027732
30 - 39,CH,2020-07-13,155,4706,1254957
40 - 49,CH,2020-07-13,115,5246,1205539
50 - 59,CH,2020-07-13,102,6638,1300012
60 - 69,CH,2020-07-13,69,3949,991217
70 - 79,CH,2020-07-13,28,2994,744449
80+,CH,2020-07-13,20,4144,471987
Unbekannt,CH,2020-07-13,0,42,NA
0 - 9,CH,2020-07-20,14,262,883904
10 - 19,CH,2020-07-20,70,1176,858994
20 - 29,CH,2020-07-20,229,4797,1027732
30 - 39,CH,2020-07-20,163,4869,1254957
40 - 49,CH,2020-07-20,114,5360,1205539
50 - 59,CH,2020-07-20,109,6747,1300012
60 - 69,CH,2020-07-20,73,4022,991217
70 - 79,CH,2020-07-20,36,3030,744449
80+,CH,2020-07-20,16,4160,471987
Unbekannt,CH,2020-07-20,0,42,NA
0 - 9,CH,2020-07-27,19,281,883904
10 - 19,CH,2020-07-27,102,1278,858994
20 - 29,CH,2020-07-27,340,5137,1027732
30 - 39,CH,2020-07-27,206,5075,1254957
40 - 49,CH,2020-07-27,157,5517,1205539
50 - 59,CH,2020-07-27,172,6919,1300012
60 - 69,CH,2020-07-27,105,4127,991217
70 - 79,CH,2020-07-27,31,3061,744449
80+,CH,2020-07-27,23,4183,471987
Unbekannt,CH,2020-07-27,0,42,NA
0 - 9,CH,2020-08-03,19,300,883904
10 - 19,CH,2020-08-03,137,1415,858994
20 - 29,CH,2020-08-03,310,5447,1027732
30 - 39,CH,2020-08-03,222,5297,1254957
40 - 49,CH,2020-08-03,143,5660,1205539
50 - 59,CH,2020-08-03,158,7077,1300012
60 - 69,CH,2020-08-03,69,4196,991217
70 - 79,CH,2020-08-03,29,3090,744449
80+,CH,2020-08-03,13,4196,471987
Unbekannt,CH,2020-08-03,0,42,NA
0 - 9,CH,2020-08-10,29,329,883904
10 - 19,CH,2020-08-10,182,1597,858994
20 - 29,CH,2020-08-10,563,6010,1027732
30 - 39,CH,2020-08-10,308,5605,1254957
40 - 49,CH,2020-08-10,192,5852,1205539
50 - 59,CH,2020-08-10,165,7242,1300012
60 - 69,CH,2020-08-10,90,4286,991217
70 - 79,CH,2020-08-10,30,3120,744449
80+,CH,2020-08-10,15,4211,471987
Unbekannt,CH,2020-08-10,0,42,NA
0 - 9,CH,2020-08-17,30,359,883904
10 - 19,CH,2020-08-17,221,1818,858994
20 - 29,CH,2020-08-17,675,6685,1027732
30 - 39,CH,2020-08-17,375,5980,1254957
40 - 49,CH,2020-08-17,235,6087,1205539
50 - 59,CH,2020-08-17,164,7406,1300012
60 - 69,CH,2020-08-17,101,4387,991217
70 - 79,CH,2020-08-17,27,3147,744449
80+,CH,2020-08-17,26,4237,471987
Unbekannt,CH,2020-08-17,1,43,NA
0 - 9,CH,2020-08-24,38,397,883904
10 - 19,CH,2020-08-24,260,2078,858994
20 - 29,CH,2020-08-24,669,7354,1027732
30 - 39,CH,2020-08-24,416,6396,1254957
40 - 49,CH,2020-08-24,294,6381,1205539
50 - 59,CH,2020-08-24,226,7632,1300012
60 - 69,CH,2020-08-24,104,4491,991217
70 - 79,CH,2020-08-24,41,3188,744449
80+,CH,2020-08-24,44,4281,471987
Unbekannt,CH,2020-08-24,0,43,NA
0 - 9,CH,2020-08-31,42,439,883904
10 - 19,CH,2020-08-31,226,2304,858994
20 - 29,CH,2020-08-31,729,8083,1027732
30 - 39,CH,2020-08-31,512,6908,1254957
40 - 49,CH,2020-08-31,357,6738,1205539
50 - 59,CH,2020-08-31,322,7954,1300012
60 - 69,CH,2020-08-31,135,4626,991217
70 - 79,CH,2020-08-31,58,3246,744449
80+,CH,2020-08-31,77,4358,471987
Unbekannt,CH,2020-08-31,0,43,NA
0 - 9,CH,2020-09-07,19,458,883904
10 - 19,CH,2020-09-07,312,2616,858994
20 - 29,CH,2020-09-07,757,8840,1027732
30 - 39,CH,2020-09-07,530,7438,1254957
40 - 49,CH,2020-09-07,470,7208,1205539
50 - 59,CH,2020-09-07,368,8322,1300012
60 - 69,CH,2020-09-07,201,4827,991217
70 - 79,CH,2020-09-07,102,3348,744449
80+,CH,2020-09-07,101,4459,471987
Unbekannt,CH,2020-09-07,0,43,NA
0 - 9,CH,2020-09-14,15,473,883904
10 - 19,CH,2020-09-14,341,2957,858994
20 - 29,CH,2020-09-14,697,9537,1027732
30 - 39,CH,2020-09-14,561,7999,1254957
40 - 49,CH,2020-09-14,488,7696,1205539
50 - 59,CH,2020-09-14,413,8735,1300012
60 - 69,CH,2020-09-14,223,5050,991217
70 - 79,CH,2020-09-14,106,3454,744449
80+,CH,2020-09-14,61,4520,471987
Unbekannt,CH,2020-09-14,0,43,NA
0 - 9,CH,2020-09-21,15,488,883904
10 - 19,CH,2020-09-21,183,3140,858994
20 - 29,CH,2020-09-21,487,10024,1027732
30 - 39,CH,2020-09-21,446,8445,1254957
40 - 49,CH,2020-09-21,359,8055,1205539
50 - 59,CH,2020-09-21,385,9120,1300012
60 - 69,CH,2020-09-21,164,5214,991217
70 - 79,CH,2020-09-21,103,3557,744449
80+,CH,2020-09-21,79,4599,471987
Unbekannt,CH,2020-09-21,0,43,NA
0 - 9,CH,2020-09-28,27,515,883904
10 - 19,CH,2020-09-28,255,3395,858994
20 - 29,CH,2020-09-28,787,10811,1027732
30 - 39,CH,2020-09-28,731,9176,1254957
40 - 49,CH,2020-09-28,531,8586,1205539
50 - 59,CH,2020-09-28,531,9651,1300012
60 - 69,CH,2020-09-28,299,5513,991217
70 - 79,CH,2020-09-28,160,3717,744449
80+,CH,2020-09-28,139,4738,471987
Unbekannt,CH,2020-09-28,1,44,NA
0 - 9,CH,2020-10-05,60,575,883904
10 - 19,CH,2020-10-05,723,4118,858994
20 - 29,CH,2020-10-05,2061,12872,1027732
30 - 39,CH,2020-10-05,1618,10794,1254957
40 - 49,CH,2020-10-05,1390,9976,1205539
50 - 59,CH,2020-10-05,1391,11042,1300012
60 - 69,CH,2020-10-05,753,6266,991217
70 - 79,CH,2020-10-05,438,4155,744449
80+,CH,2020-10-05,319,5057,471987
Unbekannt,CH,2020-10-05,0,44,NA
0 - 9,CH,2020-10-12,125,700,883904
10 - 19,CH,2020-10-12,1537,5655,858994
20 - 29,CH,2020-10-12,3963,16835,1027732
30 - 39,CH,2020-10-12,3571,14365,1254957
40 - 49,CH,2020-10-12,3212,13188,1205539
50 - 59,CH,2020-10-12,3179,14221,1300012
60 - 69,CH,2020-10-12,1806,8072,991217
70 - 79,CH,2020-10-12,1175,5330,744449
80+,CH,2020-10-12,912,5969,471987
Unbekannt,CH,2020-10-12,1,45,NA
0 - 9,CH,2020-10-19,259,959,883904
10 - 19,CH,2020-10-19,2920,8575,858994
20 - 29,CH,2020-10-19,7678,24513,1027732
30 - 39,CH,2020-10-19,7287,21652,1254957
40 - 49,CH,2020-10-19,6499,19687,1205539
50 - 59,CH,2020-10-19,6655,20876,1300012
60 - 69,CH,2020-10-19,3801,11873,991217
70 - 79,CH,2020-10-19,2517,7847,744449
80+,CH,2020-10-19,2056,8025,471987
Unbekannt,CH,2020-10-19,6,51,NA
0 - 9,CH,2020-10-26,392,1351,883904
10 - 19,CH,2020-10-26,4864,13439,858994
20 - 29,CH,2020-10-26,10174,34687,1027732
30 - 39,CH,2020-10-26,9714,31366,1254957
40 - 49,CH,2020-10-26,8990,28677,1205539
50 - 59,CH,2020-10-26,9572,30448,1300012
60 - 69,CH,2020-10-26,5342,17215,991217
70 - 79,CH,2020-10-26,3591,11438,744449
80+,CH,2020-10-26,3159,11184,471987
Unbekannt,CH,2020-10-26,23,74,NA
0 - 9,CH,2020-11-02,424,1775,883904
10 - 19,CH,2020-11-02,4507,17946,858994
20 - 29,CH,2020-11-02,8922,43609,1027732
30 - 39,CH,2020-11-02,8629,39995,1254957
40 - 49,CH,2020-11-02,8596,37273,1205539
50 - 59,CH,2020-11-02,8648,39096,1300012
60 - 69,CH,2020-11-02,4942,22157,991217
70 - 79,CH,2020-11-02,3271,14709,744449
