altersgruppe,region,datum,anzahl,summe,population
60 - 69,NW,2021-10-11,8,318,6047
60 - 69,OW,2021-10-11,7,320,4946
60 - 69,SG,2021-10-11,49,4819,60389
60 - 69,SH,2021-10-11,5,559,10864
60 - 69,SO,2021-10-11,8,2004,36105
60 - 69,SZ,2021-10-11,21,1576,20444
60 - 69,TG,2021-10-11,13,2210,35251
60 - 69,TI,2021-10-11,11,3522,43476
60 - 69,UR,2021-10-11,8,323,4778
60 - 69,VD,2021-10-11,20,7953,80347
60 - 69,VS,2021-10-11,6,4130,42899
60 - 69,ZG,2021-10-11,6,848,14649
60 - 69,ZH,2021-10-11,76,10281,157468
70 - 79,AG,2021-10-11,13,2546,58426
70 - 79,AI,2021-10-11,1,101,1433
70 - 79,AR,2021-10-11,10,294,5050
70 - 79,BE,2021-10-11,15,4371,102884
70 - 79,BL,2021-10-11,7,1122,29538
70 - 79,BS,2021-10-11,5,735,16101
70 - 79,FR,2021-10-11,14,2036,25069
70 - 79,GE,2021-10-11,13,3363,36705
70 - 79,GL,2021-10-11,0,204,3795
70 - 79,GR,2021-10-11,7,911,20461
70 - 79,JU,2021-10-11,0,564,7250
70 - 79,LU,2021-10-11,13,1607,33585
70 - 79,NE,2021-10-11,3,1262,15527
70 - 79,NW,2021-10-11,6,169,4461
70 - 79,OW,2021-10-11,2,182,3504
70 - 79,SG,2021-10-11,24,2810,44078
70 - 79,SH,2021-10-11,2,282,8053
70 - 79,SO,2021-10-11,5,1068,25255
70 - 79,SZ,2021-10-11,7,938,13712
70 - 79,TG,2021-10-11,16,1207,23637
70 - 79,TI,2021-10-11,6,2670,36178
70 - 79,UR,2021-10-11,1,187,3595
70 - 79,VD,2021-10-11,12,5053,62222
70 - 79,VS,2021-10-11,8,2799,33457
70 - 79,ZG,2021-10-11,3,427,10312
70 - 79,ZH,2021-10-11,30,6138,120161
80+,AG,2021-10-11,11,2595,33478
80+,AI,2021-10-11,6,101,977
80+,AR,2021-10-11,7,315,3082
80+,BE,2021-10-11,14,4954,63650
80+,BL,2021-10-11,8,1287,20175
80+,BS,2021-10-11,4,872,13129
80+,FR,2021-10-11,7,1897,13531
80+,GE,2021-10-11,12,3961,26509
80+,GL,2021-10-11,0,221,2322
80+,GR,2021-10-11,17,888,12271
80+,JU,2021-10-11,0,706,4459
80+,LU,2021-10-11,21,1884,22055
80+,NE,2021-10-11,18,1441,10363
80+,NW,2021-10-11,7,158,2365
80+,OW,2021-10-11,17,216,1994
80+,SG,2021-10-11,21,3090,26720
80+,SH,2021-10-11,7,284,5401
80+,SO,2021-10-11,2,1224,15637
80+,SZ,2021-10-11,15,935,7945
80+,TG,2021-10-11,6,1320,13791
80+,TI,2021-10-11,5,3169,26276
80+,UR,2021-10-11,0,236,2127
80+,VD,2021-10-11,7,5333,39500
80+,VS,2021-10-11,5,2410,18921
80+,ZG,2021-10-11,2,505,6309
80+,ZH,2021-10-11,33,6646,79000
Unbekannt,AG,2021-10-11,0,8,NA
Unbekannt,AI,2021-10-11,0,0,NA
Unbekannt,AR,2021-10-11,0,0,NA
Unbekannt,BE,2021-10-11,0,23,NA
Unbekannt,BL,2021-10-11,0,3,NA
Unbekannt,BS,2021-10-11,0,5,NA
Unbekannt,FR,2021-10-11,0,6,NA
Unbekannt,GE,2021-10-11,0,21,NA
Unbekannt,GL,2021-10-11,0,1,NA
Unbekannt,GR,2021-10-11,0,1,NA
Unbekannt,JU,2021-10-11,0,2,NA
Unbekannt,LU,2021-10-11,1,7,NA
Unbekannt,NE,2021-10-11,0,2,NA
Unbekannt,NW,2021-10-11,0,0,NA
Unbekannt,OW,2021-10-11,0,0,NA
Unbekannt,SG,2021-10-11,0,5,NA
Unbekannt,SH,2021-10-11,0,0,NA
Unbekannt,SO,2021-10-11,0,4,NA
Unbekannt,SZ,2021-10-11,0,3,NA
Unbekannt,TG,2021-10-11,0,7,NA
Unbekannt,TI,2021-10-11,0,8,NA
Unbekannt,UR,2021-10-11,0,2,NA
Unbekannt,VD,2021-10-11,1,28,NA
Unbekannt,VS,2021-10-11,0,0,NA
Unbekannt,ZG,2021-10-11,0,0,NA
Unbekannt,ZH,2021-10-11,0,43,NA
0 - 9,AG,2021-10-18,46,2404,73435
0 - 9,AI,2021-10-18,7,37,1751
0 - 9,AR,2021-10-18,10,151,6002
0 - 9,BE,2021-10-18,58,2640,101906
0 - 9,BL,2021-10-18,26,1270,27883
0 - 9,BS,2021-10-18,17,1095,18510
0 - 9,FR,2021-10-18,28,839,36132
0 - 9,GE,2021-10-18,59,2465,53474
0 - 9,GL,2021-10-18,5,149,4062
0 - 9,GR,2021-10-18,9,681,17618
0 - 9,JU,2021-10-18,0,230,7306
0 - 9,LU,2021-10-18,29,1134,43735
0 - 9,NE,2021-10-18,13,671,17264
0 - 9,NW,2021-10-18,3,132,3914
0 - 9,OW,2021-10-18,2,119,3825
0 - 9,SG,2021-10-18,24,1346,54040
0 - 9,SH,2021-10-18,7,266,8050
0 - 9,SO,2021-10-18,12,1044,27596
0 - 9,SZ,2021-10-18,16,467,16038
0 - 9,TG,2021-10-18,11,859,30136
0 - 9,TI,2021-10-18,16,801,28476
0 - 9,UR,2021-10-18,7,195,3614
0 - 9,VD,2021-10-18,44,2128,87915
0 - 9,VS,2021-10-18,17,1215,33780
0 - 9,ZG,2021-10-18,7,395,13311
0 - 9,ZH,2021-10-18,75,6449,164131
10 - 19,AG,2021-10-18,78,7756,69526
10 - 19,AI,2021-10-18,9,279,1666
10 - 19,AR,2021-10-18,22,677,5311
10 - 19,BE,2021-10-18,123,10140,97838
10 - 19,BL,2021-10-18,36,3083,28384
10 - 19,BS,2021-10-18,22,1998,15827
10 - 19,FR,2021-10-18,66,4176,36160
10 - 19,GE,2021-10-18,131,7767,53904
10 - 19,GL,2021-10-18,10,600,3827
10 - 19,GR,2021-10-18,25,2035,17630
10 - 19,JU,2021-10-18,3,969,7854
10 - 19,LU,2021-10-18,65,4650,41479
10 - 19,NE,2021-10-18,12,2355,19083
10 - 19,NW,2021-10-18,6,414,3946
10 - 19,OW,2021-10-18,14,490,3787
10 - 19,SG,2021-10-18,126,7090,52232
10 - 19,SH,2021-10-18,10,973,7781
10 - 19,SO,2021-10-18,34,3082,26026
10 - 19,SZ,2021-10-18,56,1844,15362
10 - 19,TG,2021-10-18,39,3129,27865
10 - 19,TI,2021-10-18,16,3361,33880
10 - 19,UR,2021-10-18,5,577,3752
10 - 19,VD,2021-10-18,136,10639,91874
10 - 19,VS,2021-10-18,55,4791,34634
10 - 19,ZG,2021-10-18,39,1558,12888
10 - 19,ZH,2021-10-18,168,18023,146478
20 - 29,AG,2021-10-18,82,10762,79778
20 - 29,AI,2021-10-18,7,342,2010
20 - 29,AR,2021-10-18,37,874,5879
20 - 29,BE,2021-10-18,150,14914,115407
20 - 29,BL,2021-10-18,25,3985,30005
20 - 29,BS,2021-10-18,20,3361,23124
20 - 29,FR,2021-10-18,43,7141,42907
20 - 29,GE,2021-10-18,58,13052,64139
20 - 29,GL,2021-10-18,7,780,4698
20 - 29,GR,2021-10-18,36,2955,22458
20 - 29,JU,2021-10-18,3,1508,8949
20 - 29,LU,2021-10-18,73,7600,52323
20 - 29,NE,2021-10-18,21,3499,21841
20 - 29,NW,2021-10-18,14,637,4633
20 - 29,OW,2021-10-18,15,668,4199
20 - 29,SG,2021-10-18,242,10469,64970
20 - 29,SH,2021-10-18,16,1174,9350
20 - 29,SO,2021-10-18,25,4186,31541
20 - 29,SZ,2021-10-18,57,2797,18080
20 - 29,TG,2021-10-18,78,4588,32707
20 - 29,TI,2021-10-18,13,5221,37316
20 - 29,UR,2021-10-18,6,724,4333
20 - 29,VD,2021-10-18,77,18274,106260
20 - 29,VS,2021-10-18,45,7312,42484
20 - 29,ZG,2021-10-18,25,1831,13188
20 - 29,ZH,2021-10-18,235,25542,185153
30 - 39,AG,2021-10-18,80,10602,100400
30 - 39,AI,2021-10-18,10,279,2084
30 - 39,AR,2021-10-18,37,868,7181
30 - 39,BE,2021-10-18,140,13451,143365
30 - 39,BL,2021-10-18,35,3542,35909
30 - 39,BS,2021-10-18,31,3134,33455
30 - 39,FR,2021-10-18,58,6299,46547
30 - 39,GE,2021-10-18,89,13777,76283
30 - 39,GL,2021-10-18,11,699,5693
30 - 39,GR,2021-10-18,48,2686,26120
30 - 39,JU,2021-10-18,6,1257,8826
30 - 39,LU,2021-10-18,73,6776,61154
30 - 39,NE,2021-10-18,20,3113,23159
30 - 39,NW,2021-10-18,14,539,5642
30 - 39,OW,2021-10-18,22,566,5035
30 - 39,SG,2021-10-18,240,9493,73653
30 - 39,SH,2021-10-18,13,1064,11206
30 - 39,SO,2021-10-18,38,3874,38552
30 - 39,SZ,2021-10-18,48,2601,22237
30 - 39,TG,2021-10-18,69,4412,40710
30 - 39,TI,2021-10-18,20,5161,39781
30 - 39,UR,2021-10-18,13,592,4637
30 - 39,VD,2021-10-18,127,17667,120501
30 - 39,VS,2021-10-18,49,7132,47853
30 - 39,ZG,2021-10-18,22,1735,18604
30 - 39,ZH,2021-10-18,246,27211,256370
40 - 49,AG,2021-10-18,86,9696,96825
40 - 49,AI,2021-10-18,10,269,1930
40 - 49,AR,2021-10-18,30,740,7092
40 - 49,BE,2021-10-18,112,12180,137398
40 - 49,BL,2021-10-18,29,3505,38786
40 - 49,BS,2021-10-18,16,2495,27627
40 - 49,FR,2021-10-18,68,6048,45409
40 - 49,GE,2021-10-18,96,13054,77034
40 - 49,GL,2021-10-18,11,592,5328
40 - 49,GR,2021-10-18,35,2494,26075
40 - 49,JU,2021-10-18,4,1172,8992
40 - 49,LU,2021-10-18,77,5695,55769
40 - 49,NE,2021-10-18,24,3293,23956
40 - 49,NW,2021-10-18,7,475,5613
40 - 49,OW,2021-10-18,26,532,5024
40 - 49,SG,2021-10-18,166,8504,66764
40 - 49,SH,2021-10-18,6,944,10746
40 - 49,SO,2021-10-18,37,3328,35972
40 - 49,SZ,2021-10-18,57,2502,22731
40 - 49,TG,2021-10-18,50,3678,37213
40 - 49,TI,2021-10-18,25,6044,48290
40 - 49,UR,2021-10-18,10,613,4684
40 - 49,VD,2021-10-18,122,16123,118412
40 - 49,VS,2021-10-18,39,6712,46165
40 - 49,ZG,2021-10-18,31,1705,19455
40 - 49,ZH,2021-10-18,209,23447,232249
50 - 59,AG,2021-10-18,75,9059,107532
50 - 59,AI,2021-10-18,5,274,2484
50 - 59,AR,2021-10-18,23,887,8616
50 - 59,BE,2021-10-18,111,12318,155465
50 - 59,BL,2021-10-18,30,3624,45701
50 - 59,BS,2021-10-18,13,2224,26847
50 - 59,FR,2021-10-18,37,5923,48825
50 - 59,GE,2021-10-18,56,11314,72478
50 - 59,GL,2021-10-18,11,584,6163
50 - 59,GR,2021-10-18,44,2841,31774
50 - 59,JU,2021-10-18,7,1317,10842
50 - 59,LU,2021-10-18,65,5796,62118
50 - 59,NE,2021-10-18,14,3148,25764
50 - 59,NW,2021-10-18,8,623,7273
50 - 59,OW,2021-10-18,20,627,6121
50 - 59,SG,2021-10-18,182,8565,76399
50 - 59,SH,2021-10-18,5,931,12544
50 - 59,SO,2021-10-18,22,3424,43561
50 - 59,SZ,2021-10-18,52,2701,27140
50 - 59,TG,2021-10-18,45,3998,44654
50 - 59,TI,2021-10-18,27,6401,58508
50 - 59,UR,2021-10-18,5,626,5527
50 - 59,VD,2021-10-18,87,14625,115937
50 - 59,VS,2021-10-18,44,7000,53016
50 - 59,ZG,2021-10-18,25,1696,21071
50 - 59,ZH,2021-10-18,165,20063,223652
60 - 69,AG,2021-10-18,37,5014,83686
60 - 69,AI,2021-10-18,12,177,2025
60 - 69,AR,2021-10-18,12,569,7372
60 - 69,BE,2021-10-18,67,7101,129560
60 - 69,BL,2021-10-18,17,1877,36436
60 - 69,BS,2021-10-18,17,1210,21416
60 - 69,FR,2021-10-18,20,3142,35229
60 - 69,GE,2021-10-18,21,5411,48922
60 - 69,GL,2021-10-18,0,364,5302
60 - 69,GR,2021-10-18,21,1597,26969
60 - 69,JU,2021-10-18,9,839,9320
60 - 69,LU,2021-10-18,27,3069,48108
60 - 69,NE,2021-10-18,8,1669,19209
60 - 69,NW,2021-10-18,14,332,6047
60 - 69,OW,2021-10-18,7,327,4946
60 - 69,SG,2021-10-18,75,4894,60389
60 - 69,SH,2021-10-18,5,564,10864
60 - 69,SO,2021-10-18,13,2017,36105
60 - 69,SZ,2021-10-18,25,1601,20444
60 - 69,TG,2021-10-18,20,2230,35251
60 - 69,TI,2021-10-18,13,3535,43476
60 - 69,UR,2021-10-18,2,325,4778
60 - 69,VD,2021-10-18,42,7995,80347
60 - 69,VS,2021-10-18,16,4146,42899
60 - 69,ZG,2021-10-18,18,866,14649
60 - 69,ZH,2021-10-18,95,10376,157468
70 - 79,AG,2021-10-18,13,2559,58426
70 - 79,AI,2021-10-18,10,111,1433
70 - 79,AR,2021-10-18,4,298,5050
70 - 79,BE,2021-10-18,43,4414,102884
70 - 79,BL,2021-10-18,12,1134,29538
70 - 79,BS,2021-10-18,7,742,16101
70 - 79,FR,2021-10-18,28,2064,25069
70 - 79,GE,2021-10-18,21,3384,36705
70 - 79,GL,2021-10-18,1,205,3795
70 - 79,GR,2021-10-18,17,928,20461
70 - 79,JU,2021-10-18,5,569,7250
70 - 79,LU,2021-10-18,16,1623,33585
70 - 79,NE,2021-10-18,4,1266,15527
70 - 79,NW,2021-10-18,4,173,4461
70 - 79,OW,2021-10-18,5,187,3504
70 - 79,SG,2021-10-18,43,2853,44078
70 - 79,SH,2021-10-18,3,285,8053
70 - 79,SO,2021-10-18,7,1075,25255
70 - 79,SZ,2021-10-18,13,951,13712
70 - 79,TG,2021-10-18,17,1224,23637
70 - 79,TI,2021-10-18,5,2675,36178
70 - 79,UR,2021-10-18,5,192,3595
70 - 79,VD,2021-10-18,20,5073,62222
70 - 79,VS,2021-10-18,10,2809,33457
70 - 79,ZG,2021-10-18,7,434,10312
70 - 79,ZH,2021-10-18,46,6184,120161
80+,AG,2021-10-18,23,2618,33478
80+,AI,2021-10-18,4,105,977
80+,AR,2021-10-18,1,316,3082
80+,BE,2021-10-18,36,4990,63650
80+,BL,2021-10-18,17,1304,20175
80+,BS,2021-10-18,7,879,13129
80+,FR,2021-10-18,15,1912,13531
80+,GE,2021-10-18,7,3968,26509
80+,GL,2021-10-18,2,223,2322
80+,GR,2021-10-18,20,908,12271
80+,JU,2021-10-18,5,711,4459
80+,LU,2021-10-18,22,1906,22055
80+,NE,2021-10-18,3,1444,10363
80+,NW,2021-10-18,4,162,2365
80+,OW,2021-10-18,9,225,1994
80+,SG,2021-10-18,38,3128,26720
80+,SH,2021-10-18,13,297,5401
80+,SO,2021-10-18,10,1234,15637
80+,SZ,2021-10-18,12,947,7945
80+,TG,2021-10-18,17,1337,13791
80+,TI,2021-10-18,5,3174,26276
80+,UR,2021-10-18,0,236,2127
80+,VD,2021-10-18,13,5346,39500
80+,VS,2021-10-18,5,2415,18921
80+,ZG,2021-10-18,1,506,6309
80+,ZH,2021-10-18,42,6688,79000
Unbekannt,AG,2021-10-18,0,8,NA
Unbekannt,AI,2021-10-18,0,0,NA
Unbekannt,AR,2021-10-18,0,0,NA
Unbekannt,BE,2021-10-18,2,25,NA
Unbekannt,BL,2021-10-18,0,3,NA
Unbekannt,BS,2021-10-18,0,5,NA
Unbekannt,FR,2021-10-18,0,6,NA
Unbekannt,GE,2021-10-18,0,21,NA
Unbekannt,GL,2021-10-18,0,1,NA
Unbekannt,GR,2021-10-18,0,1,NA
Unbekannt,JU,2021-10-18,0,2,NA
Unbekannt,LU,2021-10-18,0,7,NA
Unbekannt,NE,2021-10-18,0,2,NA
Unbekannt,NW,2021-10-18,0,0,NA
Unbekannt,OW,2021-10-18,0,0,NA
Unbekannt,SG,2021-10-18,0,5,NA
Unbekannt,SH,2021-10-18,0,0,NA
Unbekannt,SO,2021-10-18,0,4,NA
Unbekannt,SZ,2021-10-18,0,3,NA
Unbekannt,TG,2021-10-18,0,7,NA
Unbekannt,TI,2021-10-18,0,8,NA
Unbekannt,UR,2021-10-18,0,2,NA
Unbekannt,VD,2021-10-18,0,28,NA
Unbekannt,VS,2021-10-18,0,0,NA
Unbekannt,ZG,2021-10-18,0,0,NA
Unbekannt,ZH,2021-10-18,0,43,NA
0 - 9,AG,2021-10-25,64,2468,73435
0 - 9,AI,2021-10-25,2,39,1751
0 - 9,AR,2021-10-25,14,165,6002
0 - 9,BE,2021-10-25,105,2745,101906
0 - 9,BL,2021-10-25,69,1339,27883
0 - 9,BS,2021-10-25,29,1124,18510
0 - 9,FR,2021-10-25,36,875,36132
0 - 9,GE,2021-10-25,58,2523,53474
0 - 9,GL,2021-10-25,4,153,4062
0 - 9,GR,2021-10-25,23,704,17618
0 - 9,JU,2021-10-25,2,232,7306
0 - 9,LU,2021-10-25,38,1172,43735
0 - 9,NE,2021-10-25,14,685,17264
0 - 9,NW,2021-10-25,27,159,3914
0 - 9,OW,2021-10-25,2,121,3825
0 - 9,SG,2021-10-25,53,1399,54040
0 - 9,SH,2021-10-25,9,275,8050
0 - 9,SO,2021-10-25,39,1083,27596
0 - 9,SZ,2021-10-25,25,492,16038
0 - 9,TG,2021-10-25,41,900,30136
0 - 9,TI,2021-10-25,27,828,28476
0 - 9,UR,2021-10-25,5,200,3614
0 - 9,VD,2021-10-25,39,2167,87915
0 - 9,VS,2021-10-25,17,1232,33780
0 - 9,ZG,2021-10-25,21,416,13311
0 - 9,ZH,2021-10-25,231,6680,164131
10 - 19,AG,2021-10-25,95,7851,69526
10 - 19,AI,2021-10-25,4,283,1666
10 - 19,AR,2021-10-25,32,709,5311
10 - 19,BE,2021-10-25,299,10439,97838
10 - 19,BL,2021-10-25,64,3147,28384
10 - 19,BS,2021-10-25,40,2038,15827
10 - 19,FR,2021-10-25,65,4241,36160
10 - 19,GE,2021-10-25,113,7880,53904
10 - 19,GL,2021-10-25,15,615,3827
10 - 19,GR,2021-10-25,73,2108,17630
10 - 19,JU,2021-10-25,6,975,7854
10 - 19,LU,2021-10-25,97,4747,41479
10 - 19,NE,2021-10-25,15,2370,19083
10 - 19,NW,2021-10-25,60,474,3946
10 - 19,OW,2021-10-25,13,503,3787
10 - 19,SG,2021-10-25,185,7275,52232
10 - 19,SH,2021-10-25,18,991,7781
10 - 19,SO,2021-10-25,55,3137,26026
10 - 19,SZ,2021-10-25,98,1942,15362
10 - 19,TG,2021-10-25,71,3200,27865
10 - 19,TI,2021-10-25,22,3383,33880
10 - 19,UR,2021-10-25,14,591,3752
10 - 19,VD,2021-10-25,125,10764,91874
10 - 19,VS,2021-10-25,55,4846,34634
10 - 19,ZG,2021-10-25,40,1598,12888
10 - 19,ZH,2021-10-25,262,18285,146478
20 - 29,AG,2021-10-25,112,10874,79778
20 - 29,AI,2021-10-25,12,354,2010
20 - 29,AR,2021-10-25,38,912,5879
20 - 29,BE,2021-10-25,167,15081,115407
20 - 29,BL,2021-10-25,38,4023,30005
20 - 29,BS,2021-10-25,30,3391,23124
20 - 29,FR,2021-10-25,32,7173,42907
20 - 29,GE,2021-10-25,46,13098,64139
20 - 29,GL,2021-10-25,5,785,4698
20 - 29,GR,2021-10-25,85,3040,22458
20 - 29,JU,2021-10-25,7,1515,8949
20 - 29,LU,2021-10-25,93,7693,52323
20 - 29,NE,2021-10-25,20,3519,21841
20 - 29,NW,2021-10-25,15,652,4633
20 - 29,OW,2021-10-25,18,686,4199
20 - 29,SG,2021-10-25,245,10714,64970
20 - 29,SH,2021-10-25,14,1188,9350
20 - 29,SO,2021-10-25,36,4222,31541
20 - 29,SZ,2021-10-25,75,2872,18080
20 - 29,TG,2021-10-25,91,4679,32707
20 - 29,TI,2021-10-25,14,5235,37316
20 - 29,UR,2021-10-25,4,728,4333
20 - 29,VD,2021-10-25,80,18354,106260
20 - 29,VS,2021-10-25,54,7366,42484
20 - 29,ZG,2021-10-25,17,1848,13188
20 - 29,ZH,2021-10-25,265,25807,185153
30 - 39,AG,2021-10-25,122,10724,100400
30 - 39,AI,2021-10-25,20,299,2084
30 - 39,AR,2021-10-25,35,903,7181
30 - 39,BE,2021-10-25,177,13628,143365
30 - 39,BL,2021-10-25,54,3596,35909
30 - 39,BS,2021-10-25,32,3166,33455
30 - 39,FR,2021-10-25,51,6350,46547
30 - 39,GE,2021-10-25,86,13863,76283
30 - 39,GL,2021-10-25,9,708,5693
30 - 39,GR,2021-10-25,68,2754,26120
30 - 39,JU,2021-10-25,9,1266,8826
30 - 39,LU,2021-10-25,96,6872,61154
30 - 39,NE,2021-10-25,25,3138,23159
30 - 39,NW,2021-10-25,22,561,5642
30 - 39,OW,2021-10-25,19,585,5035
30 - 39,SG,2021-10-25,247,9740,73653
30 - 39,SH,2021-10-25,20,1084,11206
30 - 39,SO,2021-10-25,47,3921,38552
30 - 39,SZ,2021-10-25,76,2677,22237
30 - 39,TG,2021-10-25,104,4516,40710
30 - 39,TI,2021-10-25,24,5185,39781
30 - 39,UR,2021-10-25,8,600,4637
30 - 39,VD,2021-10-25,147,17814,120501
30 - 39,VS,2021-10-25,86,7218,47853
30 - 39,ZG,2021-10-25,32,1767,18604
30 - 39,ZH,2021-10-25,345,27556,256370
40 - 49,AG,2021-10-25,137,9833,96825
40 - 49,AI,2021-10-25,16,285,1930
40 - 49,AR,2021-10-25,25,765,7092
40 - 49,BE,2021-10-25,202,12382,137398
40 - 49,BL,2021-10-25,48,3553,38786
40 - 49,BS,2021-10-25,27,2522,27627
40 - 49,FR,2021-10-25,58,6106,45409
40 - 49,GE,2021-10-25,106,13160,77034
40 - 49,GL,2021-10-25,11,603,5328
40 - 49,GR,2021-10-25,51,2545,26075
40 - 49,JU,2021-10-25,1,1173,8992
40 - 49,LU,2021-10-25,86,5781,55769
40 - 49,NE,2021-10-25,15,3308,23956
40 - 49,NW,2021-10-25,19,494,5613
40 - 49,OW,2021-10-25,11,543,5024
40 - 49,SG,2021-10-25,213,8717,66764
40 - 49,SH,2021-10-25,18,962,10746
40 - 49,SO,2021-10-25,36,3364,35972
40 - 49,SZ,2021-10-25,93,2595,22731
40 - 49,TG,2021-10-25,63,3741,37213
40 - 49,TI,2021-10-25,28,6072,48290
40 - 49,UR,2021-10-25,7,620,4684
40 - 49,VD,2021-10-25,133,16256,118412
40 - 49,VS,2021-10-25,50,6762,46165
40 - 49,ZG,2021-10-25,26,1731,19455
40 - 49,ZH,2021-10-25,295,23742,232249
50 - 59,AG,2021-10-25,96,9155,107532
50 - 59,AI,2021-10-25,5,279,2484
50 - 59,AR,2021-10-25,32,919,8616
50 - 59,BE,2021-10-25,161,12479,155465
50 - 59,BL,2021-10-25,44,3668,45701
50 - 59,BS,2021-10-25,16,2240,26847
50 - 59,FR,2021-10-25,41,5964,48825
50 - 59,GE,2021-10-25,70,11384,72478
50 - 59,GL,2021-10-25,10,594,6163
50 - 59,GR,2021-10-25,54,2895,31774
50 - 59,JU,2021-10-25,4,1321,10842
50 - 59,LU,2021-10-25,78,5874,62118
50 - 59,NE,2021-10-25,16,3164,25764
50 - 59,NW,2021-10-25,27,650,7273
50 - 59,OW,2021-10-25,11,638,6121
50 - 59,SG,2021-10-25,175,8740,76399
50 - 59,SH,2021-10-25,18,949,12544
50 - 59,SO,2021-10-25,26,3450,43561
50 - 59,SZ,2021-10-25,69,2770,27140
50 - 59,TG,2021-10-25,84,4082,44654
50 - 59,TI,2021-10-25,18,6419,58508
50 - 59,UR,2021-10-25,8,634,5527
50 - 59,VD,2021-10-25,95,14720,115937
50 - 59,VS,2021-10-25,39,7039,53016
50 - 59,ZG,2021-10-25,27,1723,21071
50 - 59,ZH,2021-10-25,210,20273,223652
60 - 69,AG,2021-10-25,65,5079,83686
60 - 69,AI,2021-10-25,10,187,2025
60 - 69,AR,2021-10-25,11,580,7372
60 - 69,BE,2021-10-25,96,7197,129560
60 - 69,BL,2021-10-25,25,1902,36436
60 - 69,BS,2021-10-25,16,1226,21416
60 - 69,FR,2021-10-25,21,3163,35229
60 - 69,GE,2021-10-25,40,5451,48922
60 - 69,GL,2021-10-25,6,370,5302
60 - 69,GR,2021-10-25,42,1639,26969
60 - 69,JU,2021-10-25,4,843,9320
60 - 69,LU,2021-10-25,55,3124,48108
60 - 69,NE,2021-10-25,16,1685,19209
60 - 69,NW,2021-10-25,9,341,6047
60 - 69,OW,2021-10-25,10,337,4946
60 - 69,SG,2021-10-25,105,4999,60389
60 - 69,SH,2021-10-25,7,571,10864
60 - 69,SO,2021-10-25,14,2031,36105
60 - 69,SZ,2021-10-25,40,1641,20444
60 - 69,TG,2021-10-25,44,2274,35251
60 - 69,TI,2021-10-25,9,3544,43476
60 - 69,UR,2021-10-25,7,332,4778
60 - 69,VD,2021-10-25,40,8035,80347
60 - 69,VS,2021-10-25,17,4163,42899
60 - 69,ZG,2021-10-25,15,881,14649
60 - 69,ZH,2021-10-25,101,10477,157468
70 - 79,AG,2021-10-25,36,2595,58426
70 - 79,AI,2021-10-25,8,119,1433
70 - 79,AR,2021-10-25,9,307,5050
70 - 79,BE,2021-10-25,53,4467,102884
70 - 79,BL,2021-10-25,21,1155,29538
70 - 79,BS,2021-10-25,12,754,16101
70 - 79,FR,2021-10-25,14,2078,25069
70 - 79,GE,2021-10-25,30,3414,36705
70 - 79,GL,2021-10-25,5,210,3795
70 - 79,GR,2021-10-25,26,954,20461
70 - 79,JU,2021-10-25,4,573,7250
70 - 79,LU,2021-10-25,27,1650,33585
70 - 79,NE,2021-10-25,11,1277,15527
70 - 79,NW,2021-10-25,9,182,4461
70 - 79,OW,2021-10-25,4,191,3504
70 - 79,SG,2021-10-25,64,2917,44078
70 - 79,SH,2021-10-25,5,290,8053
70 - 79,SO,2021-10-25,11,1086,25255
70 - 79,SZ,2021-10-25,26,977,13712
70 - 79,TG,2021-10-25,16,1240,23637
70 - 79,TI,2021-10-25,9,2684,36178
70 - 79,UR,2021-10-25,2,194,3595
70 - 79,VD,2021-10-25,30,5103,62222
70 - 79,VS,2021-10-25,18,2827,33457
70 - 79,ZG,2021-10-25,11,445,10312
70 - 79,ZH,2021-10-25,87,6271,120161
80+,AG,2021-10-25,32,2650,33478
80+,AI,2021-10-25,6,111,977
80+,AR,2021-10-25,1,317,3082
80+,BE,2021-10-25,28,5018,63650
80+,BL,2021-10-25,27,1331,20175
80+,BS,2021-10-25,27,906,13129
80+,FR,2021-10-25,22,1934,13531
80+,GE,2021-10-25,18,3986,26509
80+,GL,2021-10-25,2,225,2322
80+,GR,2021-10-25,17,925,12271
80+,JU,2021-10-25,1,712,4459
80+,LU,2021-10-25,21,1927,22055
80+,NE,2021-10-25,3,1447,10363
80+,NW,2021-10-25,3,165,2365
80+,OW,2021-10-25,3,228,1994
80+,SG,2021-10-25,56,3184,26720
80+,SH,2021-10-25,10,307,5401
80+,SO,2021-10-25,1,1235,15637
80+,SZ,2021-10-25,34,981,7945
80+,TG,2021-10-25,11,1348,13791
80+,TI,2021-10-25,5,3179,26276
80+,UR,2021-10-25,2,238,2127
80+,VD,2021-10-25,23,5369,39500
80+,VS,2021-10-25,16,2431,18921
80+,ZG,2021-10-25,7,513,6309
80+,ZH,2021-10-25,72,6760,79000
Unbekannt,AG,2021-10-25,0,8,NA
Unbekannt,AI,2021-10-25,0,0,NA
Unbekannt,AR,2021-10-25,0,0,NA
Unbekannt,BE,2021-10-25,0,25,NA
Unbekannt,BL,2021-10-25,0,3,NA
Unbekannt,BS,2021-10-25,0,5,NA
Unbekannt,FR,2021-10-25,0,6,NA
Unbekannt,GE,2021-10-25,0,21,NA
Unbekannt,GL,2021-10-25,0,1,NA
Unbekannt,GR,2021-10-25,0,1,NA
Unbekannt,JU,2021-10-25,0,2,NA
Unbekannt,LU,2021-10-25,0,7,NA
